brand,cashback,offer,details,url,date_time
"reissonline","3.0%","3.0% Cash Back","Get a great deal from See all Reiss Online plus  3.0% Cash Back  from Ebates!","reissonline.com",2017-04-29 00:41:04
"shuuemura","3.0%","3.0% Cash Back","Get a great deal from See all Shu Uemura plus  3.0% Cash Back  from Ebates!","shuuemura.com",2017-04-29 00:41:04
"theory","3.0%","3.0% Cash Back","Get a great deal from See all Theory plus  3.0% Cash Back  from Ebates!","theory.com",2017-04-29 00:41:04
"thomaspink","3.0%","3.0% Cash Back","Get a great deal from See all Thomas Pink plus  3.0% Cash Back  from Ebates!","thomaspink.com",2017-04-29 00:41:05
"philliplim","3.0%","3.0% Cash Back","Get a great deal from See all 3.1 Phillip Lim plus  3.0% Cash Back  from Ebates!","philliplim.com",2017-04-29 00:41:05
"7forallmankind","3.0%","3.0% Cash Back","Get a great deal from See all 7 For All Mankind plus  3.0% Cash Back  from Ebates!","7forallmankind.com",2017-04-29 00:41:05
"colehaan","2.5%","2.5% Cash Back","Get a great deal from See all Cole Haan plus  2.5% Cash Back  from Ebates!","colehaan.com",2017-04-29 00:41:05
"designwithinreach","2.5%","2.5% Cash Back","Get a great deal from See all Design Within Reach plus  2.5% Cash Back  from Ebates!","designwithinreach.com",2017-04-29 00:41:05
"marcjacobs","2.5%","2.5% Cash Back","Get a great deal from See all Marc Jacobs plus  2.5% Cash Back  from Ebates!","marcjacobs.com",2017-04-29 00:41:05
"ralphlauren","2.5%","2.5% Cash Back","Get a great deal from See all Ralph Lauren plus  2.5% Cash Back  from Ebates!","ralphlauren.com",2017-04-29 00:41:05
"spacenk","2.5%","2.5% Cash Back","Get a great deal from See all Space NK plus  2.5% Cash Back  from Ebates!","spacenk.com",2017-04-29 00:41:05
"tumiluggage","2.5%","2.5% Cash Back","Get a great deal from See all TUMI Luggage plus  2.5% Cash Back  from Ebates!","tumiluggage.com",2017-04-29 00:41:05
"allsaints","2.0%","2.0% Cash Back","Get a great deal from See all AllSaints plus  2.0% Cash Back  from Ebates!","allsaints.com",2017-04-29 00:41:05
"oscardelarenta2","2.0%","2.0% Cash Back","Get a great deal from See all Oscar de la Renta plus  2.0% Cash Back  from Ebates!","oscardelarenta2.com",2017-04-29 00:41:05
"renttherunway","2.0%","2.0% Cash Back","Get a great deal from See all Rent the Runway plus  2.0% Cash Back  from Ebates!","renttherunway.com",2017-04-29 00:41:05
"totokaelo","1.5%","1.5% Cash Back","Get a great deal from See all Totokaelo plus  1.5% Cash Back  from Ebates!","totokaelo.com",2017-04-29 00:41:05
"yoox","1.5%","1.5% Cash Back","Get a great deal from See all YOOX plus  1.5% Cash Back  from Ebates!","yoox.com",2017-04-29 00:41:05
"anthropologie","1.0%","1.0% Cash Back","Get a great deal from See all Anthropologie plus  1.0% Cash Back  from Ebates!","anthropologie.com",2017-04-29 00:41:06
"bluenile","1.0%","1.0% Cash Back","Get a great deal from See all Blue Nile plus  1.0% Cash Back  from Ebates!","bluenile.com",2017-04-29 00:41:06
"lululemon","1.0%","1.0% Cash Back","Get a great deal from See all Lululemon plus  1.0% Cash Back  from Ebates!","lululemon.com",2017-04-29 00:41:06
"nordstromrack","1.0%","1.0% Cash Back","Get a great deal from See all Nordstrom Rack plus  1.0% Cash Back  from Ebates!","nordstromrack.com",2017-04-29 00:41:06
"tedbaker-london","1.0%","1.0% Cash Back","Get a great deal from See all Ted Baker plus  1.0% Cash Back  from Ebates!","tedbaker-london.com",2017-04-29 00:41:06
"Macy's","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:19
"Splendid","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:19
"American Eagle Outfitters","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:19
"Petco","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:19
"buybuy BABY","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:19
"Athleta","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:19
"Saks Fifth Avenue","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:19
"John Varvatos","5.0%","5.0% In-Store Cash Back","","",2017-04-29 00:41:19
"Men's Wearhouse","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:19
"The Body Shop","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Jos. A. Bank","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Johnston & Murphy","5.0%","5.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Cost Plus World Market","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Moosejaw","5.0%","5.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Bed Bath and Beyond","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Fashion to Figure","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:20
"GNC","5.0%","5.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Crate and Barrel","1.0%","1.0% In-Store Cash Back","","",2017-04-29 00:41:20
"CB2","1.0%","1.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Lord & Taylor","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Saks OFF 5TH","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Rebecca Taylor","3.5%","3.5% In-Store Cash Back","","",2017-04-29 00:41:20
"Tervis","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"New York & Company","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:20
"Plow and Hearth","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"MAC Cosmetics","3.0%","3.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Claim Jumper","10.0%","10.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Saltgrass Steak House","10.0%","10.0% In-Store Cash Back","","",2017-04-29 00:41:20
"G.H. Bass and Co.","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:20
"Club Monaco","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:21
"Gap","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:21
"EXPRESS","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:21
"Ann Taylor","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:21
"charming charlie","1.0%","1.0% In-Store Cash Back","","",2017-04-29 00:41:21
"Clarks","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:21
"Charlotte Russe","2.0%","2.0% In-Store Cash Back","","",2017-04-29 00:41:21
"Destination XL","2.5%","2.5% In-Store Cash Back","","",2017-04-29 00:41:21
"Under Armour","3.0%","3.0% In-Store Cash Back","","",2017-04-29 00:41:21
"Sunglass Hut","4.0%","4.0% In-Store Cash Back","","",2017-04-29 00:41:21
